text|is_normalized
Сегодня обещают около нуля и ветер.|1
Доставка займёт два-три дня.|1
Так как заявка уже принята, менять ничего не нужно.|1
Николай Николаевич, повторите, пожалуйста, свой вопрос.|1
Договор заключён восьмого марта две тысячи двадцать четвёртого года.|1
Температура за окном около нуля.|1
Дверь была приоткрыта, но входить почему-то не хотелось. Спасибо, что дождались ответа.|1
Платёж на сумму сто пятьдесят рублей отклонён.|1
Стоимость подписки — сто рублей в месяц.|1
Впрочем, обращение от госпожи Смирновой зарегистрировано.|1
Я вышел из дома, когда уже совсем стемнело, и долго стоял под фонарём.|1
Заявка принята в девять часов утра.|1
Чек отправлен на адрес поддержки.|1
Вы уверены — что хотите отключить услугу?|1
По-моему, звонил Иван Петров и просил перезвонить.|1
Заявка будет рассмотрена в третий рабочий день. Это займёт совсем немного времени.|1
Заявка привязана к номеру, с которого вы звоните.|1
Ваш Хуавей поддерживает сеть вайфай.|1
По-моему, вы можете оплатить картой, наличными и так далее.|1
К сожалению, стоимость подписки — сто рублей в месяц.|1
Анна Сергеевна, услуга включает звонки, сообщения и тому подобное.|1
Что-нибудь ещё вас интересует?|1
Давайте начнём сначала. Хорошего вам дня.|1
Вы уверены, что хотите отключить услугу?|1
Сегодня обещают температуру около нуля и ветер.|1
Предложение действует до первого сентября.|1
"Опция ""Обещанный платёж"" доступна новым абонентам. Хорошего вам дня."|1
Мария Ивановна ждёт вашего звонка.|1
Чек отправлен на почтовый адрес компании.|1
Дверь была приоткрыта — но входить почему-то не хотелось.|1
Скидка четверть действует до конца недели.|1
Как правило, так как заявка уже принята, менять ничего не нужно.|1
Извините за долгое ожидание. Если что-то останется неясным, перезвоните.|1
То есть списание произойдёт завтра...|1
Ожидание составит от десяти до пятнадцати минут.|1
Заявка принята в четверть седьмого.|1
Напишите нам на почтовый адрес компании.|1
Заявка обрабатывается от десяти до пятнадцати рабочих дней.|1
Оператор освободится в четверть седьмого.|1
Кое-что придётся уточнить у специалиста. Спасибо, что дождались ответа.|1
Повторите — пожалуйста, свой вопрос.|1
Мария Ивановна ждёт вашего звонка...|1
Скидка двадцать процентов действует до конца недели.|1
По-моему, услуга подключена, но ещё не активна.|1
Комиссия составляет треть.|1
Позвоните на номер, указанный в договоре.|1
Платёж поступил первого сентября.|1
Скорость снижена до пятидесяти мегабит в секунду.|1
Дарья Петровна, не кладите трубку, пожалуйста.|1
Впрочем, могу предложить вам другой вариант.|1
Хорошо, я записал.|1
Ожидание составит от трёх до пяти минут.|1
Артём Сергеевич, приложение доступно для Андроида и для Айфона.|1
Татьяна Алексеевна, вы уверены, что хотите отключить услугу?|1
Скажите, пожалуйста, что именно не работает.|1
Она поставила чашку на стол так осторожно, словно боялась разбудить кого-то.|1
Могу я уточнить ваше имя?!.|1
Переадресация настроена на номер, указанный в договоре.|1
Заявка привязана к номеру, указанный в договоре.|1
Услуга включает звонки, сообщения и тому подобное…|1
Переадресация настроена на номер горячей линии.|1
Елена Алексеевна, господин Иванов, ваша заявка одобрена.|1
Ваш номер подтверждён, проверьте сообщение.|1
Подробности на сайте оператора.|1
Ваш Хуавей поддерживает сеть пятого поколения.|1
Мы работаем с девяти часов утра до десяти утра.|1
Я до сих пор не знаю, было ли это случайностью или чьим-то расчётом.|1
Модель Хуавей снята с производства.|1
Я могу объяснить это по-русски или по-английски.|1
Сергей Николаевич, подключите вайфай в настройках устройства.|1
Температура за окном двадцать градусов тепла.|1
Повторите, пожалуйста, свой вопрос.|1
Ваш Самсунг поддерживает эту функцию...|1
Заявку оформил Сергей Кузнецов сегодня утром. Хорошего вам дня.|1
Сегодня обещают двадцать пять градусов и ветер.|1
Давайте начнём сначала.|1
Николай Сергеевич, вы можете оплатить картой, наличными и так далее.|1
Приложение в четвёртом разделе доступно в кабинете.|1
Проверьте, включён ли мобильный интернет.|1
Платёж поступил пятнадцатого июня.|1
В коридоре горела одна лампа, и тени казались длиннее обычного.|1
Так как заявка уже принята — менять ничего не нужно.|1
Соединяю вас со специалистом…|1
Извините за долгое ожидание. Это займёт совсем немного времени.|1
Вы можете оплатить картой, наличными и так далее.|1
Ваш Самсунг поддерживает эту функцию.|1
Кстати, заявку оформил Сергей Кузнецов сегодня утром.|1
Всё верно, я подтверждаю заявку.|1
На счету двести рублей.|1
Раздел четвёртый договора описывает эту услугу.|1
Чем я могу вам помочь?|1
Скорость снижена до двадцати мегабит в секунду.|1
Мы шли по набережной, и ветер с залива был неожиданно тёплым для октября.|1
Пакет включает десять гигабайт в месяц.|1
Пакет включает пять гигабайт в месяц.|1
Приложение в восьмом разделе доступно в кабинете.|1
Всё-таки давайте проверим настройки заново. Если что-то останется неясным, перезвоните.|1
Пакет включает десять гигабайт в месяц…|1
Стоимость подписки — сто рублей в месяц...|1
До ближайшего салона полтора километра.|1
Вы израсходовали пятьсот мегабайт трафика.|1
Всё верно, я подтверждаю заявку. Это займёт совсем немного времени.|1
Комиссия составляет четверть.|1
До ближайшего салона десять километров.|1
Заявка обрабатывается от трёх до пяти рабочих дней.|1
Услуга подключена, но ещё не активна.|1
Не кладите трубку, пожалуйста...|1
Раздел восьмой договора описывает эту услугу.|1
Доставка займёт от десяти до пятнадцати дней.|1
Из-за сбоя счёт не пополнился вовремя.|1
Вы израсходовали восемьсот мегабайт трафика.|1
Господин Иванов, ваша заявка одобрена.|1
В комнате пахло старыми книгами, и это был запах, который я помнил с детства.|1
Списание произойдёт в четверть седьмого по московскому времени.|1
Скажите номер договора после сигнала.|1
Соединяю вас со специалистом.|1
Платёж поступил восьмого марта две тысячи двадцать четвёртого года.|1
Комиссия составляет половину.|1
Вы подписаны на пакет «Всё включено».|1
Заявка принята в десять утра.|1
Чем я могу вам помочь? Больше ничего делать не нужно.|1
Она рассмеялась, и стало ясно, что разговор окончен.|1
Модель Самсунг Гэлакси снята с производства.|1
Извините за долгое ожидание…|1
Он приехал из Санкт-Петербурга вчера вечером.|1
Вы хотите оформить заявку прямо сейчас?!.|1
"По-моему, опция ""Обещанный платёж"" доступна новым абонентам."|1
Предложение действует до восьмого марта две тысячи двадцать четвёртого года.|1
Стоимость подписки пятьсот рублей в месяц.|1
"Ольга Николаевна, тариф ""Безлимитный"" подключён с сегодняшнего дня."|1
В коридоре горела одна лампа — и тени казались длиннее обычного.|1
Температура за окном двадцать пять градусов.|1
Могу предложить вам другой вариант.|1
Осталось пять гигабайт интернета.|1
Как правило, в комнате пахло старыми книгами, и это был запах, который я помнил с детства.|1
Справку можно получить в министерстве внутренних дел. Это займёт совсем немного времени.|1
Впрочем, это займёт совсем немного времени.|1
Осталось десять гигабайт интернета.|1
Платёж на сумму пятьсот рублей отклонён.|1
Впрочем, хорошо, я записал.|1
Включите четвёртого поколения в настройках телефона.|1
Температура за окном минус пять градусов.|1
Оплата спишется первого числа каждого месяца.|1
Она поставила чашку на стол так осторожно, словно боялась разбудить кого-то.|1
