text|is_normalized
Скажите, пожалуйста, что именно не работает?((|0
Он приехал из Санкт-Петербурга вчера вечером???|0
Заявка будет рассмотрена в 3-й рабочий день.|0
Я вас слушаю!!|0
Осталось 8,4 ГБ интернета.|0
Абонентская плата составляет 350 рублей.|0
Спасибо , что дождались ответа.|0
Курьер приедет на ул. Ленина после обеда.|0
Обращение от г-жи Смирновой зарегистрировано.|0
Обращение от госпожи Смирновой зарегистрировано <3|0
Заявка принята в 20:30.|0
Tариф действует c начала двадцать первого века.|0
Сегодня обещают -5° и ветер.|0
Раздел XXI договора описывает эту услугу.|0
Напишите нам на support@example.com.|0
Подробности на сайте www.beeline.ru.|0
Он говорил медленно, будто взвешивая каждое слово, и смотрел куда-то мимо меня..|0
Тариф действует с начала XXI века.|0
E-mail указан в личном кабинете.|0
Приложение XIX доступно в личном кабинете.|0
Комиссия составляет 50%.|0
Стоимость подписки 1814 ₽ в месяц.|0
Заявку оформил С. Кузнецов сегодня утром.|0
Приложение доступно для Android и для Айфона.|0
Обращение от госпожи Смирновой зарегистрировано)|0
Давайте начнём сначала..|0
Абонентская плата составляет триста пятьдесят рублей!.|0
Осталось пятнадцать минут исходящих вызовов..|0
Кое-что придётся уточнить у спе​циалиста.|0
Осталось 4,9 ГБ интернета.|0
Оператор освободится в 19:00.|0
Простите , я не понял, что вы сказали.|0
То есть списание произойдёт завтра)|0
Тариф действует с начала двадцать 1-го века.|0
М. Ивановна ждёт вашего звонка.|0
Простите,я не понял, что вы сказали.|0
Он приехал из Санкт-Петербурга вчера вечером!!!|0
Включите USB-C в настройках телефона.|0
Приложение доступно для Андроида и для iPhone. ;)|0
Чек отправлен на почту user@mts.ru.|0
Списание произойдёт в 16:45 по московскому времени.|0
Вы подписаны на пакет “Всё включено”.|0
Ммм, извините за долгое ожидание.|0
Договор оформлен в г. Казани.|0
Стоимость подписки — 100 рублей в месяц.|0
Раздел 2-й договора описывает эту услугу.|0
Раздел второй договора описывает эту услугу!.|0
Вы можете оплатить картой, наличными и так далее!!!|0
Никаких дополнительных действий не требуется).|0
На счету 3369 ₽.|0
Сегодня обещают -2° и ветер.|0
Я передам ваше сообщение оператору???|0
Пакет включает 10 гигабайт в месяц.|0
Тариф действует с начала 21 века.|0
Скидка составит 20 процентов.|0
Инструкция опубликована на https://mts.ru/help.|0
Я вышел из домa, когда уже совсем стемнело, и долго стоял под фонарём.|0
Переадресация настроена на +7 (936) 181-51-81.|0
Оператор освободится в 23:45.|0
Абонентская плата состaвляeт триста пятьдесят рублей.|0
Чек отправлен на почту user@support.ru.|0
Услуга включает звонки, соoбщения и томy подобное.|0
Вы можете оплатить картой, наличными и т.д..|0
